Class,Gene,Encodings
beta_lactam,bc1002_3846,4
beta_lactam,bc1003_5870,4
beta_lactam,bcah1134_3258,4
beta_lactam,bcah1134_c0540,4
beta_lactam,bce_2539,4
beta_lactam,bcen_5713,4
beta_lactam,bcenmc03_6561,4
beta_lactam,bcep18194_c7532,4
beta_lactam,bcere0002_56900,4
beta_lactam,bcere0004_22910,4
beta_lactam,bcere0005_28330,4
beta_lactam,bcere0006_22950,4
beta_lactam,bcere0007_25250,4
beta_lactam,bcere0009_22280,4
beta_lactam,bcere0013_22950,4
beta_lactam,bcere0014_24730,4
beta_lactam,bcere0016_23450,4
beta_lactam,bcere0018_55180,4
beta_lactam,bcere0019_24820,4
beta_lactam,bcere0020_8040,4
beta_lactam,bcere0021_23020,4
beta_lactam,bcere0023_23150,4
beta_lactam,bcere0023_30080,4
beta_lactam,bcere0023_30420,4
beta_lactam,bcere0025_28660,4
beta_lactam,bcere0026_25030,4
beta_lactam,bcere0028_22820,4
beta_lactam,bcere0029_52090,4
beta_lactam,bcere0029_8350,4
beta_lactam,bcerkbab4_0809,4
beta_lactam,bcerkbab4_2421,4
beta_lactam,bcg9842_b2020,4
beta_lactam,bcg9842_b2862,4
beta_lactam,bch11draft_01667,4
beta_lactam,bci,4
beta_lactam,bcii,4
beta_lactam,bcl1,4
beta_lactam,bcpg_05352,4
beta_lactam,bcrft9_01992,4
beta_lactam,bd94_2866,4
beta_lactam,bel,4
beta_lactam,bg10_6439,4
beta_lactam,bg10_6932,4
beta_lactam,bg16_6038,4
beta_lactam,bgla_2g26610,4
beta_lactam,bgramdraft_5618,4
beta_lactam,bh160draft_5418,4
beta_lactam,bjp,4
beta_lactam,bl1_ampc,4
beta_lactam,bl1_asba,4
beta_lactam,bl1_ceps,4
beta_lactam,bl1_cmy2,4
beta_lactam,bl1_ec,4
beta_lactam,bl1_fox,4
beta_lactam,bl1_pao,4
beta_lactam,bl1_pse,4
beta_lactam,bl1_sm,4
beta_lactam,bl2a_1,4
beta_lactam,bl2a_iii,4
beta_lactam,bl2a_iii2,4
beta_lactam,bl2a_kcc,4
beta_lactam,bl2a_okp,4
beta_lactam,bl2a_pc,4
beta_lactam,bl2b_tem1,4
beta_lactam,bl2b_ula,4
beta_lactam,bl2be_ctxm,4
